,cs_sentences,en_sentences,es_sentences
13,Ayyyy ' You no cuidado acerca de me ' I amar él también .,"Ayyyy 'You don't care about me' I love it too.
","Ayyyy ' No te preocupas por mí ' también me encanta .
"
14,I poder read el room too .,"I can read the room too.
","Puedo leer la habitacion tambien .
"
15,"Cowboy Bebop too , puro jewels en its banda sonora .","Cowboy Bebop too, pure jewels in its soundtrack.
","Cowboy Bebop también , puras joyas en su banda sonora .
"
16,"Yep , y to ser honest , in suicide equipo too .","Yep, and to be honest, in suicide squad too.
","Sí , y para ser honesto , en escuadrón suicida también .
"
17,"God , I tenía olvidado that en mi Sénior quote I put , “ they told me alto school era yendo to ir por fast pero I didn’t saber él era yendo a go by in a zoom . ”","God, I had forgotten that in my Senior quote I put,“ they told me high school was going to go by fast but I didn’t know it was going to go by in a zoom.”
","Dios , se me había olvidado que en mi mensaje de graduación   puse , “ me dijeron que la escuela secundaria iba a pasar rápido pero no sabía que iba a pasar en un zoom ” .
"
18,I saber I etiquetado a él y eso he was probable a see it pero I WASN'T EXPECTING A ÉL TO ACTUALLY SEE ÉL y react .,"I know I tagged him and that he was likely to see it but I WASN'T EXPECTING HIM TO ACTUALLY SEE IT and react.
","Sé que lo etiqueté y que había probabilidad de que lo viera pero NO ESPERABA QUE ÉL REALMENTE LO VEA y reaccione .
"
19,There era no a más horrible outfit tal vez .,"There was not a more horrible outfit perhaps.
","No había un outfit más horrible acaso .
"
20,"Same , I had prepared the outfits ya .","Same, I had prepared the outfits already.
","Igual , yo había preparado los outfits ya .
"
21,"Dudar lo mismoeeee I didn't even know hasta leslie al corriente last noche and I googled él , but él had ya happened .","Dude sameeeeee I didn't even know until Leslie posted last night and I googled it, but it had already happened.
","Amigo , igual ni siquiera lo sabía hasta que Leslie publicó anoche y lo busqué en Google , pero ya había pasado .
"
22,What about morbio cuando he obtiene morbid ?,"What about Morbius when he gets morbid?
","¿ Qué pasa con Morbius cuando se pone morbo ?
"
23,"I amar you también , Lo siento I don't mirar anime .","I love you too, sorry I don't watch anime.
","Yo también te quiero , perdón que no vea anime .
"
24,"Taehyung is fashion y divertido , él is también entonces hermoso and entonces dreamy , he es my lindo dorado boy !","Taehyung is fashion and funny, he is also so beautiful and so dreamy, he is my cute golden boy!
","Taehyung es fashion y funny , también es tan beautiful y tan dreamy , es mi lindo chico golden ! ¡
"
25,Their churros son good también .,"Their churros are good too.
","Sus churros son buenos también .
"
26,"I thought malo bunny era dead , no alguna vez do eso de nuevo tweeter .","I thought bad bunny was dead, don't ever do that again tweeter.
","Pensé que se había muerto bad bunny , no vuelvas a hacer eso nunca más , tuiter .
"
27,"I tenía already olvidado about medio tiempo , pero Enfermo definitely ser watching este .","I had already forgotten about halftime, but I'll definitely be watching this.
","Ya me había olvidado del medio tiempo , pero definitivamente estaré viendo esto .
"
28,"I gastar como 7 min haciendo él , copying qué was en Spotify , pero gracias instagram .","I spend like 7 min doing it, copying what was on Spotify, but thanks instagram.
","Estuve como 7 min haciéndolo , copiando lo que había en Spotify , pero gracias instagram .
"
29,"It happened ... I hit my pen durante a zoom reunión , él can't be .","It happened ... I hit my pen during a zoom meeting , it can't be.
","Sucedió .. Golpeé mi bolígrafo durante una reunión de zoom , no puede ser .
"
30,Tú poder make me tuyo any day of the week .,"You can make me yours any day of the week.
","Me puede hacer suyo cualquier día de la semana .
"
31,Krusty estado of mind cuando comiendo a krusty Burger .,"Krusty state of mind when eating a Krusty Burger.
","Krusty state of mind cuando se come una Krusty Burger .
"
32,"Mantener letting mi lucha be su main tema , pero when él 's su doblar , chew y tragar .","Keep letting my struggle be your main topic, but when it's your turn, chew and swallow.
","Sigue dejando que mi lucha sea tu tema principal , pero cuando es tu turno , mastica y traga .
"
33,"Top 3 physical esfuerzos he sintió : Cuando tú dio a mí appendicitis , hincones of ectopic pregnancy por favor die , period cramps PLUS an ITU at the mismo tiempo , como qué ?","Top 3 physical pains i’ve felt: When you gave me appendicitis, hincones of ectopic pregnancy please die, period cramps PLUS an UTI at the same time, like what?
","Los 3 dolores físicos principales que he sentido : Cuando me dio apendicitis , hincones de embarazo ectópico , por favor muere , calambres menstruales MÁS una UTI al mismo tiempo , ¿ cómo qué ?
"
34,"Cuando él dicho , "" I'm el perra that 's playing harder in este fucking game , "" I really sintió that .","When he said, "" I'm the bitch that's playing harder in this fucking game,"" I really felt that .
","Cuando dijo : "" Soy la perra que está jugando más duro en este maldito juego ... "" Realmente sentí eso .
"
35,"It marcas a mí angry cuando alguien otro than me talks acerca de Harry , like , shut up , tú don't like a él in el same forma I do .","It makes me angry when someone other than me talks about Harry, like, shut up, you don't like him in the same way I do.
","Me da rabia cuando otra persona que no soy yo habla de Harry , como que , cállate , no te gusta de la misma manera que a mí .
"
36,"That beso made me sentir complete , y I no necesidad más , and I don't need more than tú , more than eso sonrisa , eso hecho a mí sonrisa cuando I needed it most .","That kiss made me feel complete, and I don't need more ,and I don't need more than you, more than that smile, that made me smile when I needed it most.
","Ese beso me hizo sentir completo , y no necesito más , y no necesito más que tú , más que esa sonrisa , que me hizo sonreír cuando más lo necesité .
"
37,"Él 's also el primero time I use él , but bueno it no work instantáneamente .","It's also the first time I use it, but okay it didn't work instantly.
","Tambien es la primera vez que uso , pero esta bien , no funciono al instante .
"
38,"Taehyung is entonces beautiful y perfecto , he es a joya , a jewel y he is also divertido .","Taehyung is so beautiful and perfect, he is a jewel, a jewel and he is also funny.
","Taehyung es tan bello y perfecto , es una joya , joya y también es divertido .
"
39,I tenía pensamiento allá is always a nuevo dawn .,"I had thought there is always a new dawn.
","Yo había pensado que siempre hay un nuevo amanecer .
"
40,"Indeed , dentro el colonia sí mismo allá was centro y periferia .","Indeed, within the colony itself there was center and periphery.
","Efectivamente , dentro de la colonia había mismo centro y periferia .
"
41,"El way I tenía deleted her medio tiempo actuación from mi memory , please .","The way I had deleted her halftime performance from my memory, please.
","La forma en que yo había borrado su actuación de medio tiempo de mi memoria , por favor .
"
42,"I had forgotten the remix of ebrio en amar , ser bien atrás .","I had forgotten the remix of drunk in love, be right back.
","Se me había olvidado el remix de borracho de amor , vuelvo enseguida .
"
43,"Oh , I no saber por qué I haven't seen este video , it ' s so silly y adorable oh , Rin y Len estás todo to me .","Oh, I don't know why I haven't seen this video, it 's so silly and adorable oh, Rin and Len you're everything to me.
","Es tan tonto y adorable oh , Rin y Len lo son todo para mi .
"
44,"Soy mendicidad my second ex to bloquear me mientras my primero ex desbloqueado me , este no poder ser , just leave me solo !","I'm begging my second ex to block me while my first ex unblocked me,this can’t be, just leave me alone!
","¡ Le pido a mi segundo ex que me bloquee mientras que mi primer ex me desbloqueó , no puede ser , ya déjenme !
"
45,It tiene mami issues .,"It has mommy issues.
","Tiene problemas de mamá .
"
46,"Guau , Sonic Unleashed has tremendous petardos .","Wow ,Sonic Unleashed has tremendous bangers.
","Vaya , tremendos bangers tiene Sonic Unleashed .
"
47,It acepta more que eso a decir si sí puede !,"It takes more than that to say si se puede!
","Se necesita más que eso para decir ¡ sí se puede !
"
48,"It no poder ser , este marcas a mí so happy .","It can't be ,this makes me so happy.
","No puede ser , esto me hace tan feliz .
"
49,"Pequeño freak tiene One Dirección vibes , cambiar mi mind .","Little freak has One Direction vibes, change my mind.
","Little freak tiene vibraciones de One Direction , cambio de opinión .
"
50,Hoy 's clima : I no poder give you a 0 so I give tú ... a 1 ( porque de the Frío breeze ) .,"Today's weather: I can't give you a 0 so I give you ... a 1 (because of the cool breeze ).
","Al tiempo de hoy : No puedo darte un 0 así que te doy ... un 1 ( por la brisa fresquita ) .
"
51,"God , El Vecindario makes a mí hot and triste at el mismo tiempo .","God, The Neighborhood makes me hot and sad at the same time.
","Dios , The Neighborhood me pone caliente y triste al mismo tiempo .
"
52,"I no había visto the can , I never comprendió she was holding a plate de corn in this scene .","I hadn’t seen the can, I never realized she was holding a plate of corn in this scene.
","No había visto la lata , nunca me di cuenta de que estaba sosteniendo un plato de maíz en esta escena .
"
53,"At this punto , mycoplasma es whooping mi culo , she had never estado so sick .","At this point, mycoplasma is whooping my ass, she had never been so sick.
","En este punto , el micoplasma me está dando patadas en el culo , nunca había durado tanto enferma .
"
54,"I see Nico di Angelo and my cerebro va brrrrrr , I want a dibujar a él y now nadie can stop a mí .","I see Nico di Angelo and my brain goes brrrrrr, I want to draw him and now nobody can stop me.
","Veo a Nico di Angelo y mi cerebro hace brrrrrr , quiero dibujarlo y ahora nadie puede detenerme .
"
55,Café y redes tiempo en Controlador Día 22 .,"Coffee and networking time at Controller Day 22.
","Tiempo de cafe y networking en Controller Day 22 .
"
56,"Dejar a mí saber si I debería permanecer aquí para a largo tiempo , por favor .","Let me know if I should stay here for a long time, please.
","Avísame si debo quedarme aquí por un buen tiempo , por favor .
"
57,Overthinking all el time .,"Overthinking all the time.
","Overthinking todo el tiempo .
"
58,I went de being at coleaderos jaripeos all el time a not yendo 2 años in a fila .,"I went from being at coleaderos jaripeos all the time to not going 2 years in a row.
","Pasé de estar en coleaderos/ jaripeos todo el tiempo a no ir 2 años seguidos .
"
59,"He consiguió este , calmly , con time , everything voluntad trabajar afuera .","I've got this, calmly , with time, everything will work out.
","Tengo esto , con calma , con tiempo , todo saldrá bien .
"
60,"I contestada the same thing , totally elegir a mí girl vibras próximo through , o incluso empeorar 'cool girl' .","I answered the same thing, totally pick me girl vibes coming through, or even worsen 'cool girl'.
","Respondí lo mismo , elige totalmente las vibraciones de mi chica o , peor aún , "" chica genial "" .
"
61,Porque my mamá wouldn't dejar mi culo solo since primero grade so I podría escribir en cursive .,"Because my mom wouldn't leave my ass alone since first grade so I could write in cursive.
","Porque mi mamá no me dejaba el culo en paz desde primer grado para que pudiera escribir en cursiva .
"
62,Mirror ' por Kendrick gives a mí cadena vibras a el Black Pantera album that Kendrick también participó en .,"Mirror' by Kendrick gives me string vibes to the Black Panther album that Kendrick also participated in.
","Mirror ' de Kendrick me da string vibes al álbum de Black Panther que también participo Kendrick .
"
63,I got en within 3 minutos y there era nada .,"I got in within 3 minutes and there was nothing.
","Entré a los 3 minutos y ya no había nada .
"
64,"I saw tú al corriente este más temprano and I era a aleatorio y tenía not heard de el casos entonces I just made a mini thread on it , please no preocuparse .","I saw you posted this earlier and I was a random and had not heard of the cases so I just made a mini thread on it, please don't worry.
","Vi que publicaste esto antes y estaba al azar y no había oído de los casos , así que acabo de hacer un mini hilo sobre eso , por favor no te preocupes .
"
65,"Please mirar after me , él can't be .","Please look after me, it can't be.
","Por favor cuídame , no puede ser .
"
66,"A el girl who buscado me a roll down my ventanas , I'm Lo siento , my truck es old , you can't .","To the girl who wanted me to roll down my windows, I'm sorry , my truck is old, you can't .
","A la niña que quería que bajara mis ventanas , lo siento , mi troca es viejita , no se puede .
"
67,"Not gon na mentir , I'm en realidad yendo a través de it and I hate admitiendo it , but I think I just reached mi breaking point , but there is a Dios eso I saber he has algo para me .","Not gon na lie, I'm really going through it and I hate admitting it, but I think I just reached my breaking point, but there is a God that I know he has something for me.
","No voy a mentir , realmente estoy pasando por eso y odio admitirlo , pero creo que acabo de llegar a mi punto de ruptura , pero hay un Dios que sé que tiene algo para mí .
"
68,"You darse cuenta él 's solo a matter de tiempo before we comenzar yelling , "" NADA WAKES TÚ UP LIKE WAKING UP ALONE . ""","You realize it's only a matter of time before we start yelling, ""NOTHING WAKES YOU UP LIKE WAKING UP ALONE.""
","Ustedes se dan cuenta que es una pregunta de tiempo para ponernos a gritar , "" NADA TE DESPIERTA COMO DESPERTAR SOLO "" .
"
69,"When you decir you have a firecracker en su ass , no preocuparse el mismo thing happens a me .","When you say you have a firecracker in your ass , don't worry the same thing happens to me.
","Cuando dices que tienes un petardo en el culo , no te preocupes que me pasa lo mismo .
"
70,"Done , ahora seguir back .","Done, now follow back.
","Listo , ahora sigue atrás .
"
71,Now in 2022 ellos are el best mejor mejor amigos .,"Now in 2022 they are the best best best friends.
","Ahora en el 2022 son los mejores mejores mejores amigos .
"
72,"That ' s bien , como hermano , I no incluso desear a mirar back en mi tuits .","That 's right, like bruh, I don't even want to look back at my tweets.
","Eso mismo , como bruh , ni siquiera quiero mirar hacia atrás en mis tweet .
"
73,I tener a duro tiempo eligiendo trajes ahora .,"I have a hard time choosing outfits now.
","Me cuesta mil elegir outfits ahora .
"
74,"Aquí de nuevo con mi bestie , see you más tarde .","Here again with my bestie, see you later.
","Aquí de nuevo con mi mejor amiga , nos vemos despues .
"
75,sara Finn after binge - watching the serie : infierno yeah eso 's some Namor - culo caótico energía ..,"Sarah Finn after binge-watching the series: hell yeah that's some Namor - ass chaotic energy..
","Sarah Finn después de maratonearse la serie : hell yeah that's some Namor-ass caotic energy .
"
76,‘ After the Beach ' about to be the new ‘ Suavemente . ',"‘After the Beach' about to be the new ‘Softly.'
","' Despues de la Playa ' a punto de ser el nuevo ' Suavemente ' .
"
77,6'2 reina wasn't going a respirar el mismo aire de No short jugar chica .,"6'2 queen wasn't going to breathe the same air of no short play girl .
","6'2 queen no iba a respirar el mismo aire de no short play girl .
"
78,"Antes I was a girl 4.00 smart girl with grande Sueños , now Soy justo a girl .","Before I was a girl 4.00 smart girl with big dreams , now I'm just a girl .
","Antes era chica 4.00 smart girl with big dreams , ahora solo soy chica .
"
79,"Ahora Soy loco ( orbit ) radical & everybody decir thank you a mi girlfriend , el más gay person ever .","Now I'm loonatic (orbit) radical & everybody say thank you to my girlfriend, the gayest person ever.
","Ahora soy loonatic ( orbit ) radical y todos dicen gracias a mi novia , la persona mas gay que existe .
"
80,I need el próximo episodio now !,"I need the next episode now!
","¡ Necesito el próximo episodio ahora !
"
81,"After we acordado a stay amigos and nada more , polla bloquear .","After we agreed to stay friends and nothing more , cock block.
","Despues de que acordamos seguir siendo amigos y nada mas , bloque de verga .
"
82,"A mí después teaching 'dance the night away' en class mode , por qué am I the only one who 's estallando my maldito coño right now .","Me after teaching 'dance the night away' in class mode, why am I the only one who's popping my fucking pussy right now.
","Yo después de enseñar ' dance the night away ' en clase modo , ¿ Por qué soy el único que me está reventando el coño en este momento ?
"
83,Imagine when you tener a human .,"Imagine when you have a human.
","Imagine cuando tenga un humano .
"
84,"When I conseguir mi rastas , él 's over para you perras .","When I get my dreadlocks, it's over for you bitches.
","Cuando me haga las rastas , se acabó para ustedes , perras .
"
85,"Para alguno reason él es siempre el context that nosotros eran in some amable de giant inflable casa or something — like , you saber el little tower that era in the playground el fast alimentos like Burger King , where you tenía a como climb por yendo up a floor ?","For some reason it is always the context that we were in some kind of giant inflatable house or something — like, you know the little tower that was in the playground the fast foods like Burger King, where you had to like climb by going up a floor ?
","Por alguna razón , siempre es el contexto de que estaban en una especie de casa inflable gigante o algo así , como , ¿ saben la torrecita que habia en el patio de recreo de las comidas rápidas como Burger King , donde te tenía que gustar escalar subiendo un piso ?
"
86,"I sentir luz - headed , I hadn't comprendió cómo much .","I feel light-headed, I hadn't realized how much.
","Me siento mareado , yo no me había dado cuanta .
"
87,You guys hacer Nuevo Testamento entender how personal this is a a mí .,"You guys do n't understand how personal this is to me .
","Ustedes no entienden lo personal que es esto para mí .
"
88,"Él ca n't ser , this is my joker .","It ca n't be , this is my joker .
","No puede ser , este es mi comodín .
"
89,"What do you mean , obviamente you poder , you just consiguió ta try suficiente .","What do you mean , obviously you can , you just got ta try enough .
","¿ Qué quieres decir con obvio se puede ? Solo tienes que intentarlo lo suficiente .
"
90,"The correlation surpasses su feeble mind , qué can tú do buddy .","The correlation surpasses your feeble mind , what can you do buddy .
","La correlación supera tu débil mente , que se puede hacer mi pana .
"
91,Tomorrow poder no be .,"Tomorrow can not be .
","Mañana no puede ser .
"
92,Couple shoes con mi mom can be so cute .,"Couple shoes with my mom can be so cute .
","Pareja de zapatos con mi mamá puede ser tan lindo .
"
93,The wacho has me en love .,"The wacho has me in love .
","Me tiene enamorado el wacho .
"
94,Hacer tú have a boyfriend ?,"Do you have a boyfriend ?
","¿ Tiene novio ?
"
95,"Guau ... but , damn , how time moscas !","Wow ... but , damn , how time flies !
","Wow ... pero , maldita sea , como pasa el tiempo !
"
96,"Made mí mismo breakfast tacos , ahora a trabajar .","Made myself breakfast tacos , now to work .
","Me hice tacos de desayuno , ahora a trabajar .
"
97,The cantidad de veces I escuchó ' after the beach ' at el beach yesterday era loco .,"The amount of times I heard ' after the beach ' at the beach yesterday was crazy .
","La cantidad de veces que escuché ' después de la playa ' ayer en la playa fue una locura .
"
98,"Dejar the homie live , Carnal !","Let the homie live , Carnal !
","¡ Deja que el tipo viva , Carnal !
"
99,Él was justo recordando su that él ' s about eso action after el game .,"He was just reminding her that he 's about that action after the game .
","Solo le estaba recordando que se trata de esa acción después del juego .
"
100,Aún a homosexuales declaración even si it ' s literal ...,"Still a gay statement even if it 's literal ...
","Sigue siendo una declaración gay aunque sea literal ...
"
101,It 's time to bring out all my island puti clothes even though I ' metro not en el Isla .,"It 's time to bring out all my island puti clothes even though I 'm not on the Island .
","Es hora de sacar toda mi ropa de puti isleño aunque no estoy en la Isla .
"
102,Although i era right .,"Although i was right .
","Aunque tenía razón .
"
103,The chica in frente of me es watching ' The Vampire Diaries ' and haciendo homework en el mismo tiempo y it 's a mood .,"The girl in front of me is watching ' The Vampire Diaries ' and doing homework at the same time and it's a mood .
","La tipa enfrente de mi esta viendo ' The Vampire Diaries ' y haciendo tarea al mismo tiempo and it's a mood .
"
104,Sorry Hikaru that ' s my wife now .,"Sorry Hikaru that 's my wife now .
","Lo siento Hikaru esa es mi esposa ahora .
"
105,"Currently in mi azada fase where it 's "" 8 - 10 "" ft this dudar "" 10 - 12 "" pie this one y "" 1 - 2 "" now él 's this guy 's turn .","Currently in my hoe phase where it's "" 8 - 10 "" ft this dude "" 10 - 12 "" ft this one and "" 1 - 2 "" now it's this guy's turn .
","Actualmente en mi fase de azada donde son "" 8-10 "" con este tipo , "" 10-12 "" con este y "" 1-2 "" ahora le toca a este .
"
106,People get caught up en their extraño comportamiento and then jugar el víctima .,"People get caught up in their weird behavior and then play the victim .
","La gente queda atrapada en su comportamiento extraño y despues se hacen la victima .
"
107,I'm too down después the beach .,"I'm too down after the beach .
","Estoy demasiado desanimado despues de la playa .
"
108,"I danced to 'después de la playa' , 'titi asked me' , y 'party last night' in the jangueo y I was justo so happy .","I danced to 'después de la playa' , 'titi asked me' , and 'party last night' in the jangueo and I was just so happy .
","Bailé ' después de la playa ' , ' titi me pregunto ' y ' party last night ' en el jangueo y estaba tan feliz .
"
109,"I aún creer nosotros tener tiempo to ganar , if Roe passes el luchar voluntad ir en de nuevo hasta we ganar , come en you’re a combatiente .","I still believe we have time to win, if Roe passes the fight will go on again until we win, come on you’re a fighter .
","Sigo creyendo que tenemos tiempo para ganar , si pasa Roe … la lucha continuará hasta que ganemos , vamos , eres un luchador .
"
110,We are aún rocking with the team a pesar de we son valer shit .,"We are still rocking with the team although we are worth shit.
","Seguimos animados con el equipo , aunque valemos verga .
"
111,"Thank you entonces mucho , friend !","Thank you so much, friend!
","¡ Muchas gracias , amiga !
"
112,"Aww , thank you para poniendo arriba with me , and with all mi craziness .","Aww , thank you for putting up with me , and with all my craziness .
","Aww , gracias por aguantarme y con todas mis locuras .
"
113,"Su chica putting en con el tiempo every semana , buy me a Starbucks even si it es .","Your girl putting in overtime every week , buy me a Starbucks even if it is .
","Tu chica haciendo horas extras toda la semana , compreme un Starbucks aunque sea .
"
114,Game de Thrones ' es a necesario rewatch incluso si eso bad finalizando hurts .,"Game of Thrones ' is a needed rewatch even if that bad ending hurts .
","No es necesario volver a ver Game of Thrones , aunque duela ese final tan malo .
"
115,"I will literalmente not ser intercambio no mother Cabron with alguien este summer , bitch you poder tener a él even if I morir of puto courage , but Mierda no , I ' ll patada both your asses , then I ' m no , adiós .","I will literally not be sharing no mother fucker with anyone this summer , bitch you can have him even if I die of puto courage , but fuck no , I 'll kick both your asses , then I 'm not , bye .
","Literalmente no compartiré ningún hijo de puta con nadie este verano , perra , puedes tenerlo aunque me muera del puto coraje , pero joder , no , les patearé el trasero a ambos , entonces no lo haré , adiós .
"
116,"A pesar de I ' ve nunca been so fijado en algo , justo Juegos de vídeo , and probablemente music .","Although I 've never been so fixated on something , just videogames , and probably music .
","Aunque nunca he estado tan obsesionado en algo , solo videojuegos y probablemente música .
"
117,"Incluso si tú criticado Negro Pink , you poder perfectly hacer it , ellos just hacer Nuevo Testamento saber how a take cualquier cosa other than exaggerated elogio !","Even if you criticized Black Pink , you can perfectly do it , they just do n't know how to take anything other than exaggerated praise !
","Aunque critiques a Black Pink , perfectamente puedes hacerlo , ¡ simplemente no saben tomar nada más que elogios exagerados !
"
118,"I know el sentimiento , I recomendar a pillow at least .","I know the feeling , I recommend a pillow at least .
","Conozco el sentimiento , te recomiendo una almohada aunque sea .
"
119,A veces tú tener to fuerza your friends a drink water incluso si they ahogar .,"Sometimes you have to force your friends to drink water even if they drown .
","A veces tienes que obligar a tus amigos a beber agua aunque se ahoguen .
"
120,I wonder if I 'm ever gon na get married even if it ' s for negocio .,"I wonder if I 'm ever gon na get married even if it 's for business .
","Me pregunto si alguna vez me casaré aunque sea por negocio .
"
121,"333 seguidores , lindo hito incluso si they son yendo to dar me an unfollow después that .","333 followers , cute milestone even if they are going to give me an unfollow after that .
","333 seguidores , lindo hito aunque me vayan a dejar de seguir después de eso .
"
122,"One cosa about me , tú disrespect my dad , I ' m yendo a falta de respeto you , even if it ' s a big dama , what do tú significar ?","One thing about me , you disrespect my dad , I 'm going to disrespect you , even if it 's a big lady , what do you mean ?
","Una cosa sobre mi , le faltas el respeto a mi papa , te voy a faltar el respeto , aunque sea señora grande , ¿ qué quieres decir ?
"
123,I perdido contar how muchos Ricanstruction ediciones I comprado ' cause I era sending a ellos to el familia .,"I lost count how many Ricanstruction editions I purchased 'cause I was sending them to the family .
","Perdí la cuenta de cuántas ediciones de Ricanstruction compré porque las enviaba a la familia .
"
124,"When Fajardo said : "" I hacer n't inspire cualquier cosa , ” I know cómo de mierda eso siente bro .","When Fajardo said : "" I do n't inspire anything , ” I know how shitty that feels bro .
","Cuando Fajardo dijo : "" yo no inspiro nada , ” sé lo mal que se siente hermano .
"
125,"De acuerdo , but cuando taylor Swift dicho "" por qué son nosotros fingiendo this is nada ? "" bro , I really felt that .","Ok , but when Taylor Swift said "" why are we pretending this is nothing ? "" bro , I really felt that .
","Ok , pero cuando Taylor Swift dijo "" ¿ por qué estamos fingiendo que esto no es nada ? "" hermano , realmente sentí eso .
"
126,"Solo when él trajes tú , tt ' s always been that way , I ' m dumb as mierda .","Only when it suits you , tt 's always been that way , I 'm dumb as shit .
","Solo cuando te convenga , siempre ha sido así , soy tonto con cojones .
"
127,"Cuando I was singing ' medicamento ' , este is no what I was expecting .","When I was singing ' medicine ' , this is not what I was expecting .
","Cuando estaba cantando ' medicine ' , esto no es lo que esperaba .
"
128,"kurtney tenía that big , pretty velo and camino y uno swore that allá was a hermoso vestido underneath , y él justo looks como a corsé mini dress straight out de Bershka .","Kourtney had that big , pretty veil and trail and one swore that there was a beautiful dress underneath , and it just looks like a corset mini dress straight out of Bershka .
","Kourtney tenía ese velo grande y bonito y uno jurando que había un vestido bellísimo debajo , y parece un mini vestido con corsé sacado directamente de Bershka .
"
129,"Men , I tenía never tenía entonces many people como , golpeando on me y damn … it ' s crazy , él ' s a whole new world .","Men , I had never had so many people like , hitting on me and damn … it 's crazy , it 's a whole new world .
","Men , jamas había tenido tanta gente como , coquetear conmigo y maldita sea ... es una locura , es un mundo completamente nuevo .
"
130,"Si el mundo era ending , spanglish versión mentalmente teleports a mí to when there was cuarentena .","If the world was ending , spanglish version mentally teleports me to when there was quarantine .
","Si el mundo se acabara , versión spanglish me teletransporta mentalmente a cuando habia cuarentena .
"
131,"The only uno , OMS poder repetir el championship .","The only one , who can repeat the championship .
","El único , que puede repetir campeonato .
"
132,Sí you can amigo y you consiguió this .,"yes you can friend and you got this .
","Si se puede amiga y tienes esto .
"
133,"ah , it ca n't ser , eso debería be a mí .","Ah , it ca n't be , that should be me .
","Ah , no puede ser , ese debería ser yo .
"
134,Él has a mí crazy .,"It has me crazy .
","Me tiene loco .
"
135,"She consiguió a mí discurso espanglish , baby hacer n't tú understand ?","She got me speaking Spanglish , baby do n't you understand ?
","Ella me tiene hablando spanglish , baby , ¿ no lo entiendes ?
"
136,We ca n't wait eso largo .,"We ca n't wait that long .
","No podemos esperar tanto tiempo .
"
